ik,level5,level1_description,level2_description,level3_description,IK14
GKCBAIGFKIBETG-UHFFFAOYSA-N,D04AB06,DERMATOLOGICALS,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",GKCBAIGFKIBETG
RPTUSVTUFVMDQK-UHFFFAOYSA-N,C02DB02,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",RPTUSVTUFVMDQK
YXSLJKQTIDHPOT-UHFFFAOYSA-N,M03AC04,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",YXSLJKQTIDHPOT
VLPIATFUUWWMKC-UHFFFAOYSA-N,C01BB02,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III",VLPIATFUUWWMKC
NNJVILVZKWQKPM-UHFFFAOYSA-N,D04AB01,DERMATOLOGICALS,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",NNJVILVZKWQKPM
NNJVILVZKWQKPM-UHFFFAOYSA-N,N01BB02,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",NNJVILVZKWQKPM
UCTWMZQNUQWSLP-VIFPVBQESA-N,B02BC09,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,VITAMIN K AND OTHER HEMOSTATICS,UCTWMZQNUQWSLP
UCTWMZQNUQWSLP-VIFPVBQESA-N,S01EA01,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,UCTWMZQNUQWSLP
OIGNJSKKLXVSLS-VWUMJDOOSA-N,A01AC04,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,OIGNJSKKLXVSLS
OIGNJSKKLXVSLS-VWUMJDOOSA-N,D07AA03,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN",OIGNJSKKLXVSLS
OIGNJSKKLXVSLS-VWUMJDOOSA-N,R01AD52,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,OIGNJSKKLXVSLS
UCTRAOBQFUDCSR-SECBINFHSA-N,N06BA14,NERVOUS SYSTEM,PSYCHOANALEPTICS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",UCTRAOBQFUDCSR
VOBHXZCDAVEXEY-JSGCOSHPSA-N,N06BA12,NERVOUS SYSTEM,PSYCHOANALEPTICS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",VOBHXZCDAVEXEY
FBOZXECLQNJBKD-ZDUSSCGKSA-N,L01BA01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,FBOZXECLQNJBKD
IWUCXVSUMQZMFG-AFCXAGJDSA-N,J05AP01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,IWUCXVSUMQZMFG
JYGXADMDTFJGBT-VWUMJDOOSA-N,D07AA02,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN",JYGXADMDTFJGBT
GJJFMKBJSRMPLA-UHFFFAOYSA-N,N06AX17,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,GJJFMKBJSRMPLA
GBXSMTUPTTWBMN-XIRDDKMYSA-N,C09AA02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN",GBXSMTUPTTWBMN
UREBDLICKHMUKA-DVTGEIKXSA-N,S01CB04,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,UREBDLICKHMUKA
UREBDLICKHMUKA-DVTGEIKXSA-N,S03BA03,SENSORY ORGANS,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,CORTICOSTEROIDS,UREBDLICKHMUKA
DMKSVUSAATWOCU-HROMYWEYSA-N,S01BA14,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,DMKSVUSAATWOCU
OIRDTQYFTABQOQ-UHTZMRCNSA-N,S01AD06,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,OIRDTQYFTABQOQ
OJLOPKGSLYJEMD-URPKTTJQSA-N,A02BB01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OJLOPKGSLYJEMD
VHYCDWMUTMEGQY-UHFFFAOYSA-N,C07AB07,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,VHYCDWMUTMEGQY
OPXLLQIJSORQAM-UHFFFAOYSA-N,P02CA51,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,OPXLLQIJSORQAM
FPVKHBSQESCIEP-JQCXWYLXSA-N,L01XX08,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,FPVKHBSQESCIEP
WQZGKKKJIJFFOK-GASJEMHNSA-N,B05CX01,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,IRRIGATING SOLUTIONS,WQZGKKKJIJFFOK
WQZGKKKJIJFFOK-GASJEMHNSA-N,C05BB56,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,ANTIVARICOSE THERAPY,WQZGKKKJIJFFOK
GZUITABIAKMVPG-UHFFFAOYSA-N,G03XC01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GZUITABIAKMVPG
RKEWSXXUOLRFBX-UHFFFAOYSA-N,N05AX17,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,RKEWSXXUOLRFBX
KTUFNOKKBVMGRW-UHFFFAOYSA-N,L01EA01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,KTUFNOKKBVMGRW
FGQFOYHRJSUHMR-UHFFFAOYSA-N,M04AB05,MUSCULO-SKELETAL SYSTEM,ANTIGOUT PREPARATIONS,ANTIGOUT PREPARATIONS,FGQFOYHRJSUHMR
OZWKMVRBQXNZKK-UHFFFAOYSA-N,S01BC05,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,OZWKMVRBQXNZKK
KLPWJLBORRMFGK-UHFFFAOYSA-N,N05AE02,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,KLPWJLBORRMFGK
YKPUWZUDDOIDPM-VURMDHGXSA-N,M02AB02,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,YKPUWZUDDOIDPM
DWYRIWUZIJHQKQ-SANMLTNESA-N,L01EX18,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,DWYRIWUZIJHQKQ
QHMBSVQNZZTUGM-ZWKOTPCHSA-N,N03AX24,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,QHMBSVQNZZTUGM
JNAHVYVRKWKWKQ-CYBMUJFWSA-N,L01XK05,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,JNAHVYVRKWKWKQ
MCIACXAZCBVDEE-CUUWFGFTSA-N,A10BK04,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",MCIACXAZCBVDEE
LPAUOXUZGSBGDU-STDDISTJSA-N,L04AE04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,LPAUOXUZGSBGDU
WDENQIQQYWYTPO-IBGZPJMESA-N,L01EL02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,WDENQIQQYWYTPO
NNACHAUCXXVJSP-UHFFFAOYSA-N,N07XX11,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,OTHER NERVOUS SYSTEM DRUGS,NNACHAUCXXVJSP
BSMCAPRUBJMWDF-KRWDZBQOSA-N,L01EE02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,BSMCAPRUBJMWDF
KRNAOFGYEFKHPB-ANJVHQHFSA-N,N02CD06,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,KRNAOFGYEFKHPB
MUGXRYIUWFITCP-PGRDOPGGSA-N,N05CJ02,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,MUGXRYIUWFITCP
HWXVIOGONBBTBY-ONEGZZNKSA-N,L01EJ03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,HWXVIOGONBBTBY
KIHYPELVXPAIDH-HNSNBQBZSA-N,L04AE03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,KIHYPELVXPAIDH
KTBSXLIQKWEBRB-UHFFFAOYSA-N,L04AF05,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,KTBSXLIQKWEBRB
HJBWBFZLDZWPHF-UHFFFAOYSA-N,L02BB05,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,HJBWBFZLDZWPHF
ZVHNDZWQTBEVRY-UHFFFAOYSA-N,L01EJ04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,ZVHNDZWQTBEVRY
BZZKEPGENYLQSC-FIBGUPNXSA-N,L04AF07,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,BZZKEPGENYLQSC
RMRJXGBAOAMLHD-CTAPUXPBSA-N,N02AE01,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,RMRJXGBAOAMLHD
IRSCQMHQWWYFCW-UHFFFAOYSA-N,S01AD09,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,IRSCQMHQWWYFCW
MUMGGOZAMZWBJJ-DYKIIFRCSA-N,G03BA03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS,MUMGGOZAMZWBJJ
DRHKJLXJIQTDTD-OAHLLOKOSA-N,G04CA02,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,DRHKJLXJIQTDTD
OCJYIGYOJCODJL-UHFFFAOYSA-N,R06AE55,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,OCJYIGYOJCODJL
MYSWGUAQZAJSOK-UHFFFAOYSA-N,S03AA07,SENSORY ORGANS,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,ANTIINFECTIVES,MYSWGUAQZAJSOK
DYKFCLLONBREIL-KVUCHLLUSA-N,D10AF07,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,DYKFCLLONBREIL
ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,C01BD07,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III",ZQTNQVWKHCQYLQ
RRGUKTPIGVIEKM-UHFFFAOYSA-N,B01AC23,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,RRGUKTPIGVIEKM
RLLPVAHGXHCWKJ-UHFFFAOYSA-N,P03AC04,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES",RLLPVAHGXHCWKJ
YJYPHIXNFHFHND-UHFFFAOYSA-N,N06AX22,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,YJYPHIXNFHFHND
RYYVLZVUVIJVGH-UHFFFAOYSA-N,N06BC01,NERVOUS SYSTEM,PSYCHOANALEPTICS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",RYYVLZVUVIJVGH
CZFFBEXEKNGXKS-UHFFFAOYSA-N,J05AJ01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,CZFFBEXEKNGXKS
LNEPOXFFQSENCJ-UHFFFAOYSA-N,N05AD01,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,LNEPOXFFQSENCJ
DBEPLOCGEIEOCV-WSBQPABSSA-N,D11AX10,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,DBEPLOCGEIEOCV
HPHUVLMMVZITSG-LURJTMIESA-N,N03AX14,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,HPHUVLMMVZITSG
RIKMMFOAQPJVMX-UHFFFAOYSA-N,V03AB34,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,RIKMMFOAQPJVMX
KJFBVJALEQWJBS-XUXIUFHCSA-N,J05AX10,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,KJFBVJALEQWJBS
DGBIGWXXNGSACT-UHFFFAOYSA-N,N03AE01,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,DGBIGWXXNGSACT
FDKXTQMXEQVLRF-ZHACJKMWSA-N,L01AX04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ALKYLATING AGENTS,FDKXTQMXEQVLRF
MJIHNNLFOKEZEW-UHFFFAOYSA-N,A02BC03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),MJIHNNLFOKEZEW
MYPYJXKWCTUITO-LYRMYLQWSA-N,A07AA09,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,MYPYJXKWCTUITO
MYPYJXKWCTUITO-LYRMYLQWSA-N,J01XA01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,MYPYJXKWCTUITO
DYDCPNMLZGFQTM-UHFFFAOYSA-N,J01MA23,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,DYDCPNMLZGFQTM
DHHVAGZRUROJKS-UHFFFAOYSA-N,A08AA01,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",DHHVAGZRUROJKS
PCHKPVIQAHNQLW-CQSZACIVSA-N,L01XK02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,PCHKPVIQAHNQLW
MOYKHGMNXAOIAT-JGWLITMVSA-N,C05AE02,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,MOYKHGMNXAOIAT
UREBDLICKHMUKA-CXSFZGCWSA-N,R01AD03,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,UREBDLICKHMUKA
UREBDLICKHMUKA-CXSFZGCWSA-N,S02BA06,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,UREBDLICKHMUKA
UREBDLICKHMUKA-CXSFZGCWSA-N,S03BA01,SENSORY ORGANS,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,CORTICOSTEROIDS,UREBDLICKHMUKA
VAOCPAMSLUNLGC-UHFFFAOYSA-N,G01AF01,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",VAOCPAMSLUNLGC
OGHNVEJMJSYVRP-UHFFFAOYSA-N,C07AG02,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,OGHNVEJMJSYVRP
DIWRORZWFLOCLC-UHFFFAOYSA-N,N05BA56,NERVOUS SYSTEM,PSYCHOLEPTICS,ANXIOLYTICS,DIWRORZWFLOCLC
HIFJCPQKFCZDDL-ACWOEMLNSA-N,B01AC11,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,HIFJCPQKFCZDDL
HEFNNWSXXWATRW-UHFFFAOYSA-N,R02AX02,RESPIRATORY SYSTEM,THROAT PREPARATIONS,THROAT PREPARATIONS,HEFNNWSXXWATRW
KNAHARQHSZJURB-UHFFFAOYSA-N,H03BA02,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",THYROID THERAPY,ANTITHYROID PREPARATIONS,KNAHARQHSZJURB
WMWTYOKRWGGJOA-CENSZEJFSA-N,D07AC17,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN",WMWTYOKRWGGJOA
WMWTYOKRWGGJOA-CENSZEJFSA-N,R01AD08,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,WMWTYOKRWGGJOA
WOFMFGQZHJDGCX-ZULDAHANSA-N,R01AD09,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,WOFMFGQZHJDGCX
JVHXJTBJCFBINQ-ADAARDCZSA-N,A10BK01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",JVHXJTBJCFBINQ
FMGSKLZLMKYGDP-USOAJAOKSA-N,A14AA07,ALIMENTARY TRACT AND METABOLISM,ANABOLIC AGENTS FOR SYSTEMIC USE,ANABOLIC STEROIDS,FMGSKLZLMKYGDP
FMGSKLZLMKYGDP-USOAJAOKSA-N,G03XX01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,FMGSKLZLMKYGDP
VJJPUSNTGOMMGY-MRVIYFEKSA-N,L01CB01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,VJJPUSNTGOMMGY
GFNANZIMVAIWHM-OBYCQNJPSA-N,S01BA05,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,GFNANZIMVAIWHM
GOTYRUGSSMKFNF-UHFFFAOYSA-N,L04AX04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,GOTYRUGSSMKFNF
PKVRCIRHQMSYJX-AIFWHQITSA-N,L01CX01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,PKVRCIRHQMSYJX
JCQLYHFGKNRPGE-FCVZTGTOSA-N,A06AD11,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,JCQLYHFGKNRPGE
UCFGDBYHRUNTLO-QHCPKHFHSA-N,L01CE01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,UCFGDBYHRUNTLO
QYSXJUFSXHHAJI-YRZJJWOYSA-N,A11CC05,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",QYSXJUFSXHHAJI
ZKLPARSLTMPFCP-UHFFFAOYSA-N,R06AE07,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,ZKLPARSLTMPFCP
NKANXQFJJICGDU-QPLCGJKRSA-N,L02BA01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,NKANXQFJJICGDU
KWIUHFFTVRNATP-UHFFFAOYSA-O,A16AA06,ALIMENTARY TRACT AND METABOLISM,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,KWIUHFFTVRNATP
PNVNVHUZROJLTJ-UHFFFAOYSA-N,N06AX16,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,PNVNVHUZROJLTJ
MFFMDFFZMYYVKS-SECBINFHSA-N,A10BH01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",MFFMDFFZMYYVKS
CUIHSIWYWATEQL-UHFFFAOYSA-N,L01EX03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,CUIHSIWYWATEQL
RUZYUOTYCVRMRZ-UHFFFAOYSA-N,C02CA04,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",RUZYUOTYCVRMRZ
PWKSKIMOESPYIA-BYPYZUCNSA-N,S01XA08,SENSORY ORGANS,OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,PWKSKIMOESPYIA
KUVIULQEHSCUHY-XYWKZLDCSA-N,A07EA07,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,KUVIULQEHSCUHY
GKCBAIGFKIBETG-UHFFFAOYSA-N,S01HA03,SENSORY ORGANS,OPHTHALMOLOGICALS,LOCAL ANESTHETICS,GKCBAIGFKIBETG
DDBREPKUVSBGFI-UHFFFAOYSA-N,N03AA02,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,DDBREPKUVSBGFI
PJVWKTKQMONHTI-UHFFFAOYSA-N,B01AA03,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,PJVWKTKQMONHTI
PHLBKPHSAVXXEF-UHFFFAOYSA-N,N06AX05,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,PHLBKPHSAVXXEF
YREYEVIYCVEVJK-UHFFFAOYSA-N,A02BC04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),YREYEVIYCVEVJK
KWGRBVOPPLSCSI-WCBMZHEXSA-N,R01BA02,RESPIRATORY SYSTEM,NASAL PREPARATIONS,NASAL DECONGESTANTS FOR SYSTEMIC USE,KWGRBVOPPLSCSI
NNJVILVZKWQKPM-UHFFFAOYSA-N,S01HA07,SENSORY ORGANS,OPHTHALMOLOGICALS,LOCAL ANESTHETICS,NNJVILVZKWQKPM
UCTWMZQNUQWSLP-VIFPVBQESA-N,A01AD01,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,UCTWMZQNUQWSLP
KKGQTZUTZRNORY-UHFFFAOYSA-N,L04AE01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,KKGQTZUTZRNORY
SFLSHLFXELFNJZ-QMMMGPOBSA-N,C01CA03,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,SFLSHLFXELFNJZ
ZNNLBTZKUZBEKO-UHFFFAOYSA-N,A10BB01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",ZNNLBTZKUZBEKO
USSIQXCVUWKGNF-UHFFFAOYSA-N,N02AC52,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,USSIQXCVUWKGNF
LUZRJRNZXALNLM-JGRZULCMSA-N,N02CA51,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,LUZRJRNZXALNLM
FIVSJYGQAIEMOC-ZGNKEGEESA-N,A04AD14,ALIMENTARY TRACT AND METABOLISM,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,FIVSJYGQAIEMOC
ZRVUJXDFFKFLMG-UHFFFAOYSA-N,M01AC56,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ZRVUJXDFFKFLMG
MEZLKOACVSPNER-GFCCVEGCSA-N,N04BD01,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,MEZLKOACVSPNER
ZKLPARSLTMPFCP-OAQYLSRUSA-N,R06AE09,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,ZKLPARSLTMPFCP
