ik14,target_gene,action_type,mechanism_of_action
IPEHBUMCGVEMRF,rpsE,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsF,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsG,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsH,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpsI,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplA,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplJ,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplK,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplN,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplO,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplP,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplQ,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplR,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplS,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplB,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplT,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplU,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplV,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplW,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplX,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplY,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmA,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmB1,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmB2,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmC,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplC,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmD,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmE,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmF,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmG1,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmG2,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmH,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmI,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rpmJ,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplD,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplE,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplF,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplL,INHIBITOR,70S ribosome inhibitor
IPEHBUMCGVEMRF,rplI,INHIBITOR,70S ribosome inhibitor
TYZROVQLWOKYKF,rpsB,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplD,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsA,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsJ,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsK,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsL,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsM,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsN,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsO,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsP,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsQ,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsR,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsS,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsT,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsU,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsC,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsD,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsE,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsF,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsG,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpsH,INHIBITOR,Bacterial 70S ribosome inhibitor
