ik14,target_gene,action_type,mechanism_of_action
KJADKKWYZYXHBB,GABRP,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRD,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRG1,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRB1,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRE,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRA2,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRA5,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,GABRA6,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
KJADKKWYZYXHBB,SCN1A,BLOCKER,Sodium channel alpha subunit blocker
KJADKKWYZYXHBB,SCN5A,BLOCKER,Sodium channel alpha subunit blocker
KJADKKWYZYXHBB,SCN4A,BLOCKER,Sodium channel alpha subunit blocker
KJADKKWYZYXHBB,SCN7A,BLOCKER,Sodium channel alpha subunit blocker
KJADKKWYZYXHBB,SCN2A,BLOCKER,Sodium channel alpha subunit blocker
KJADKKWYZYXHBB,SCN9A,BLOCKER,Sodium channel alpha subunit blocker
KJADKKWYZYXHBB,SCN3A,BLOCKER,Sodium channel alpha subunit blocker
KJADKKWYZYXHBB,SCN11A,BLOCKER,Sodium channel alpha subunit blocker
KJADKKWYZYXHBB,SCN8A,BLOCKER,Sodium channel alpha subunit blocker
KJADKKWYZYXHBB,SCN10A,BLOCKER,Sodium channel alpha subunit blocker
GHASVSINZRGABV,TYMS,INHIBITOR,Thymidylate synthase inhibitor
MPVGZUGXCQEXTM,CSF1R,INHIBITOR,Macrophage colony stimulating factor receptor inhibitor
MPVGZUGXCQEXTM,FLT3,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor
MPVGZUGXCQEXTM,PDGFRB,INHIBITOR,Platelet-derived growth factor receptor inhibitor
MPVGZUGXCQEXTM,PDGFRA,INHIBITOR,Platelet-derived growth factor receptor inhibitor
MPVGZUGXCQEXTM,FLT1,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
MPVGZUGXCQEXTM,FLT4,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
MPVGZUGXCQEXTM,KDR,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
ZCGNOVWYSGBHAU,PA,INHIBITOR,RNA-directed RNA polymerase inhibitor
ZCGNOVWYSGBHAU,PB1,INHIBITOR,RNA-directed RNA polymerase inhibitor
ZCGNOVWYSGBHAU,PB2,INHIBITOR,RNA-directed RNA polymerase inhibitor
WBXPDJSOTKVWSJ,DHFR,INHIBITOR,Dihydrofolate reductase inhibitor
WBXPDJSOTKVWSJ,TYMS,INHIBITOR,Thymidylate synthase inhibitor
WBXPDJSOTKVWSJ,GART,INHIBITOR,GAR transformylase inhibitor
JYGXADMDTFJGBT,NR3C1,AGONIST,Glucocorticoid receptor agonist
WHQCHUCQKNIQEC,SLC22A12,INHIBITOR,Solute carrier family 22 member 12 inhibitor
HPJKCIUCZWXJDR,CYP19A1,INHIBITOR,Cytochrome P450 19A1 inhibitor
XPOQHMRABVBWPR,pol,INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor
GFNANZIMVAIWHM,NR3C1,AGONIST,Glucocorticoid receptor agonist
YUTIXVXZQIQWGY,TRPV1,ANTAGONIST,Vanilloid receptor antagonist
RTGDFNSFWBGLEC,IMPDH1,INHIBITOR,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor
RTGDFNSFWBGLEC,IMPDH2,INHIBITOR,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor
NEMGRZFTLSKBAP,MAOB,INHIBITOR,Monoamine oxidase B inhibitor
YQEZLKZALYSWHR,GRIN1,NEGATIVE ALLOSTERIC MODULATOR,Glutamate [NMDA] receptor negative allosteric modulator
YQEZLKZALYSWHR,GRIN2A,NEGATIVE ALLOSTERIC MODULATOR,Glutamate [NMDA] receptor negative allosteric modulator
YQEZLKZALYSWHR,GRIN2B,NEGATIVE ALLOSTERIC MODULATOR,Glutamate [NMDA] receptor negative allosteric modulator
YQEZLKZALYSWHR,GRIN2D,NEGATIVE ALLOSTERIC MODULATOR,Glutamate [NMDA] receptor negative allosteric modulator
YQEZLKZALYSWHR,GRIN3B,NEGATIVE ALLOSTERIC MODULATOR,Glutamate [NMDA] receptor negative allosteric modulator
YQEZLKZALYSWHR,GRIN2C,NEGATIVE ALLOSTERIC MODULATOR,Glutamate [NMDA] receptor negative allosteric modulator
YQEZLKZALYSWHR,GRIN3A,NEGATIVE ALLOSTERIC MODULATOR,Glutamate [NMDA] receptor negative allosteric modulator
OFCNXPDARWKPPY,XDH,INHIBITOR,Xanthine dehydrogenase inhibitor
QNZCBYKSOIHPEH,F10,INHIBITOR,Coagulation factor X inhibitor
LTXREWYXXSTFRX,DPP4,INHIBITOR,Dipeptidyl peptidase IV inhibitor
WMWTYOKRWGGJOA,NR3C1,AGONIST,Glucocorticoid receptor agonist
POZRVZJJTULAOH,PGR,AGONIST,Progesterone receptor agonist
POZRVZJJTULAOH,AR,AGONIST,Androgen Receptor agonist
WIGIZIANZCJQQY,KCNJ11,BLOCKER,"Sulfonylurea receptor 1, Kir6.2 blocker"
WIGIZIANZCJQQY,ABCC8,BLOCKER,"Sulfonylurea receptor 1, Kir6.2 blocker"
QXWZQTURMXZVHJ,PTGIR,AGONIST,Prostanoid IP receptor agonist
ZHKNLJLMDFQVHJ,PPARA,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
OEKWJQXRCDYSHL,P2RY12,NEGATIVE ALLOSTERIC MODULATOR,Purinergic receptor P2Y12 negative allosteric modulator
NMUSYJAQQFHJEW,DNMT3A,INHIBITOR,DNA (cytosine-5)-methyltransferase 3A inhibitor
NMUSYJAQQFHJEW,DNMT1,INHIBITOR,DNA (cytosine-5)-methyltransferase 1 inhibitor
NDAZATDQFDPQBD,HSP90AA1,INHIBITOR,Heat shock protein HSP90 inhibitor
NDAZATDQFDPQBD,HSP90AB1,INHIBITOR,Heat shock protein HSP90 inhibitor
SNHRLVCMMWUAJD,NR3C1,AGONIST,Glucocorticoid receptor agonist
HYIMSNHJOBLJNT,CACNA1C,BLOCKER,Voltage-gated L-type calcium channel blocker
HYIMSNHJOBLJNT,CACNA1S,BLOCKER,Voltage-gated L-type calcium channel blocker
HYIMSNHJOBLJNT,CACNA1D,BLOCKER,Voltage-gated L-type calcium channel blocker
HYIMSNHJOBLJNT,CACNA1F,BLOCKER,Voltage-gated L-type calcium channel blocker
SUBDBMMJDZJVOS,ATP4A,INHIBITOR,Potassium-transporting ATPase inhibitor
SUBDBMMJDZJVOS,ATP4B,INHIBITOR,Potassium-transporting ATPase inhibitor
YNDXUCZADRHECN,NR3C1,AGONIST,Glucocorticoid receptor agonist
METQSPRSQINEEU,NR3C2,ANTAGONIST,Mineralocorticoid receptor antagonist
METQSPRSQINEEU,PGR,AGONIST,Progesterone receptor agonist
YOSHYTLCDANDAN,AGTR1,ANTAGONIST,Type-1 angiotensin II receptor antagonist
PMRYVIKBURPHAH,TPO,INHIBITOR,Thyroid peroxidase inhibitor
VTRAEEWXHOVJFV,AGTR1,ANTAGONIST,Type-1 angiotensin II receptor antagonist
KNAHARQHSZJURB,TPO,INHIBITOR,Thyroid peroxidase inhibitor
KNAHARQHSZJURB,DIO1,INHIBITOR,Type I iodothyronine deiodinase (Type-I 5'-deiodinase) (DIOI) (Type 1 DI) (5DI) inhibitor
GBBSUAFBMRNDJC,GABRG2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
GBBSUAFBMRNDJC,GABRG3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
GBBSUAFBMRNDJC,GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
GBBSUAFBMRNDJC,GABRP,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
GBBSUAFBMRNDJC,GABRD,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
GBBSUAFBMRNDJC,GABRG1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
GBBSUAFBMRNDJC,GABRE,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
RLLPVAHGXHCWKJ,vssc,BLOCKER,Voltage-sensitive sodium channel blocker
NOOLISFMXDJSKH,TRPM8,OPENER,Transient receptor potential cation channel subfamily M member 8 opener
NOOLISFMXDJSKH,TRPA1,OPENER,Transient receptor potential cation channel subfamily A member 1 opener
OOUGLTULBSNHNF,RPSA,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS27,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS6,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS2,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS3,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS3A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS4X,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS4Y1,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS5,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS7,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS8,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS9,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS10,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS11,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS12,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS13,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS14,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS15,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS15A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS16,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS17,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS18,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS19,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS20,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS21,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS23,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS24,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS25,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS26,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS27A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS28,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPS29,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,FAU,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL3,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL4,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL5,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL6,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL7,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL7A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL8,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL9,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL9P7,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL9P8,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL9P9,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL10,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL10A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL11,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL12,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL13,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL13A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL14,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL15,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL17,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL18,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL18A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL19,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL21,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL22,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL23,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL23A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL24,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL26,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL27,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL27A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL28,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL29,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL30,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL31,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL32,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL34,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL35,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL35A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL36,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL36A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL37,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL37A,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL38,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL39,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPL41,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPLP0,MODULATOR,80S Ribosome modulator
OOUGLTULBSNHNF,RPLP1,MODULATOR,80S Ribosome modulator
ZISJNXNHJRQYJO,AHR,AGONIST,Aryl hydrocarbon receptor agonist
LMEKQMALGUDUQG,PPAT,INHIBITOR,Amidophosphoribosyltransferase inhibitor
OOLLAFOLCSJHRE,PGR,MODULATOR,Progesterone receptor modulator
UPNUIXSCZBYVBB,OPRM1,ANTAGONIST,Mu opioid receptor antagonist
XUFXOAAUWZOOIT,AMY2A,INHIBITOR,Pancreatic alpha-amylase inhibitor
XUFXOAAUWZOOIT,MGAM,INHIBITOR,Maltase-glucoamylase inhibitor
UVIQSJCZCSLXRZ,CYP17A1,INHIBITOR,Cytochrome P450 17A1 inhibitor
JVHXJTBJCFBINQ,SLC5A2,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
RKUNBYITZUJHSG,CHRM3,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist
RKUNBYITZUJHSG,CHRM1,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist
RKUNBYITZUJHSG,CHRM2,ANTAGONIST,Muscarinic acetylcholine receptor M2 antagonist
RMRJXGBAOAMLHD,OPRM1,AGONIST,Mu opioid receptor agonist
RMRJXGBAOAMLHD,OPRK1,AGONIST,Kappa opioid receptor agonist
DHHVAGZRUROJKS,SLC6A2,RELEASING AGENT,Norepinephrine transporter releasing agent
FPVKHBSQESCIEP,ADA,INHIBITOR,Adenosine deaminase inhibitor
NNACHAUCXXVJSP,HRH3,INVERSE AGONIST,Histamine H3 receptor inverse agonist
IMOZEMNVLZVGJZ,PDE4A,INHIBITOR,Phosphodiesterase 4 inhibitor
IMOZEMNVLZVGJZ,PDE4D,INHIBITOR,Phosphodiesterase 4 inhibitor
IMOZEMNVLZVGJZ,PDE4B,INHIBITOR,Phosphodiesterase 4 inhibitor
IMOZEMNVLZVGJZ,PDE4C,INHIBITOR,Phosphodiesterase 4 inhibitor
XHOLNRLADUSQLD,F10,INHIBITOR,Coagulation factor X inhibitor
QWEWGXUTRTXFRF,DPP4,INHIBITOR,Dipeptidyl peptidase IV inhibitor
BPQMGSKTAYIVFO,SMO,INHIBITOR,Smoothened homolog inhibitor
VWPOSFSPZNDTMJ,ADRB1,ANTAGONIST,Beta-1 adrenergic receptor antagonist
VWPOSFSPZNDTMJ,ADRB2,ANTAGONIST,Beta-2 adrenergic receptor antagonist
NZCRJKRKKOLAOJ,rpoB,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
NZCRJKRKKOLAOJ,rpoA,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
NZCRJKRKKOLAOJ,rpoC,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
NZCRJKRKKOLAOJ,rpoZ,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
PMXMIIMHBWHSKN,DRD2,ANTAGONIST,Dopamine D2 receptor antagonist
PMXMIIMHBWHSKN,HTR2A,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist
FDLYAMZZIXQODN,PARP1,INHIBITOR,"PARP 1, 2 and 3 inhibitor"
FDLYAMZZIXQODN,PARP3,INHIBITOR,"PARP 1, 2 and 3 inhibitor"
FDLYAMZZIXQODN,PARP2,INHIBITOR,"PARP 1, 2 and 3 inhibitor"
IWUCXVSUMQZMFG,IMPDH1,INHIBITOR,Inosine-5'-monophosphate dehydrogenase 1 inhibitor
IWUCXVSUMQZMFG,NS5b,INHIBITOR,RNA-directed RNA polymerase inhibitor
HMJIYCCIJYRONP,CACNA1C,BLOCKER,Voltage-gated L-type calcium channel blocker
HMJIYCCIJYRONP,CACNA1S,BLOCKER,Voltage-gated L-type calcium channel blocker
HMJIYCCIJYRONP,CACNA1D,BLOCKER,Voltage-gated L-type calcium channel blocker
HMJIYCCIJYRONP,CACNA1F,BLOCKER,Voltage-gated L-type calcium channel blocker
ITRJWOMZKQRYTA,NR3C1,AGONIST,Glucocorticoid receptor agonist
JNAHVYVRKWKWKQ,PARP1,INHIBITOR,"PARP 1, 2 and 3 inhibitor"
JNAHVYVRKWKWKQ,PARP3,INHIBITOR,"PARP 1, 2 and 3 inhibitor"
JNAHVYVRKWKWKQ,PARP2,INHIBITOR,"PARP 1, 2 and 3 inhibitor"
PIQCTGMSNWUMAF,FGFR3,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor
PIQCTGMSNWUMAF,FLT3,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor
PIQCTGMSNWUMAF,KIT,INHIBITOR,Stem cell growth factor receptor inhibitor
PIQCTGMSNWUMAF,PDGFRB,INHIBITOR,Platelet-derived growth factor receptor inhibitor
PIQCTGMSNWUMAF,PDGFRA,INHIBITOR,Platelet-derived growth factor receptor inhibitor
PIQCTGMSNWUMAF,FLT1,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
PIQCTGMSNWUMAF,FLT4,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
PIQCTGMSNWUMAF,KDR,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
ZCCUWMICIWSJIX,mecA,INHIBITOR,Penicillin-binding protein 2a inhibitor
ZCCUWMICIWSJIX,pbpX,INHIBITOR,Penicillin-binding protein 2x inhibitor
ZCCUWMICIWSJIX,dacB,INHIBITOR,Bacterial penicillin-binding protein inhibitor
ZCCUWMICIWSJIX,ftsI,INHIBITOR,Bacterial penicillin-binding protein inhibitor
ZCCUWMICIWSJIX,mrcA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
ZCCUWMICIWSJIX,mrcB,INHIBITOR,Bacterial penicillin-binding protein inhibitor
ZCCUWMICIWSJIX,dacA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
ZCCUWMICIWSJIX,mrdA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
ZCCUWMICIWSJIX,dacC,INHIBITOR,Bacterial penicillin-binding protein inhibitor
WDZCUPBHRAEYDL,rpoB,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
WDZCUPBHRAEYDL,rpoA,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
WDZCUPBHRAEYDL,rpoC,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
WDZCUPBHRAEYDL,rpoZ,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor
XTULMSXFIHGYFS,NR3C1,AGONIST,Glucocorticoid receptor agonist
KJFBVJALEQWJBS,UL97,INHIBITOR,Phosphotransferase pUL97 inhibitor
USZAGAREISWJDP,PDE4A,INHIBITOR,Phosphodiesterase 4 inhibitor
USZAGAREISWJDP,PDE4D,INHIBITOR,Phosphodiesterase 4 inhibitor
USZAGAREISWJDP,PDE4B,INHIBITOR,Phosphodiesterase 4 inhibitor
USZAGAREISWJDP,PDE4C,INHIBITOR,Phosphodiesterase 4 inhibitor
AZEXWHKOMMASPA,PDE10A,INHIBITOR,Phosphodiesterase 10A inhibitor
RAHBGWKEPAQNFF,KIT,INHIBITOR,Stem cell growth factor receptor inhibitor
RAHBGWKEPAQNFF,RET,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor
RAHBGWKEPAQNFF,FLT1,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
RAHBGWKEPAQNFF,FLT4,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
RAHBGWKEPAQNFF,KDR,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
RAHBGWKEPAQNFF,PDGFRB,INHIBITOR,Platelet-derived growth factor receptor inhibitor
RAHBGWKEPAQNFF,PDGFRA,INHIBITOR,Platelet-derived growth factor receptor inhibitor
ZXERDUOLZKYMJM,NR1H4,AGONIST,Bile acid receptor FXR agonist
NLVFBUXFDBBNBW,rpsJ,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsK,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsL,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsM,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsN,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsO,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsP,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsQ,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsR,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsS,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsA,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsT,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsU,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsB,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsC,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsD,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsE,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsF,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsG,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsH,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpsI,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplJ,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplK,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplM,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplN,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplO,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplP,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplQ,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplR,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplS,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplA,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplT,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplU,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplV,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplW,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplX,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplY,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmA,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmB,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmC,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplB,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmD,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmE2,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmE,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmF,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmG,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmH,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmI,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmJ2,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rpmJ,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplC,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplD,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplE,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplF,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplL,INHIBITOR,70S ribosome inhibitor
NLVFBUXFDBBNBW,rplI,INHIBITOR,70S ribosome inhibitor
STECJAGHUSJQJN,CHRM1,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist
HUNGUWOZPQBXGX,SRC,INHIBITOR,Tyrosine-protein kinase SRC inhibitor
WDDPHFBMKLOVOX,RRM1,INHIBITOR,Ribonucleoside-diphosphate reductase RR1 inhibitor
WDDPHFBMKLOVOX,RRM2B,INHIBITOR,Ribonucleoside-diphosphate reductase RR1 inhibitor
WDDPHFBMKLOVOX,RRM2,INHIBITOR,Ribonucleoside-diphosphate reductase RR1 inhibitor
WDDPHFBMKLOVOX,POLA1,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
WDDPHFBMKLOVOX,POLD4,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
WDDPHFBMKLOVOX,POLD3,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
