IK14,Disease,depmap_dep_lin,depmap_selectivity,depmap_has
XGALLCVXEZPNRQ,Lung Cancer; Head and Neck Cancer,-0.22656977302642697,0.010757319451468988,1
VSNHCAURESNICA,Multiple Sclerosis,0.0,0.0,0
GMVPRGQOIOIIMI,newborn respiratory distress syndrome,0.0,0.0,0
GXALXAKNHIROPE,Hepatitis C,0.0,0.0,0
GOTYRUGSSMKFNF,Leukemia; Acute Myeloid Leukemia (AML); Myelodysplastic Syndromes (MDS),-2.135370211337415,-0.034386385579817436,1
FELGMEQIXOGIFQ,Obsessive-compulsive Disorder,0.0,0.0,0
CUIHSIWYWATEQL,Gastrointestinal Stromal Tumor (GIST),0.0,0.0,0
JQXXHWHPUNPDRT,Multiple System Atrophy,0.0,0.0,0
UCEQXRCJXIVODC,Lung Cancer,-0.048746341951219845,-0.011422172937428123,1
GYHCTFXIZSNGJT,Hyponatremia,0.0,0.0,0
CUIHSIWYWATEQL,wet macular degeneration,0.0,0.0,0
VJYDOJXJUCJUHL,Acute Coronary Syndrome,0.0,0.0,0
JNAHVYVRKWKWKQ,Liver Cancer,-0.13823118894018452,0.0710538499796981,1
YUTIXVXZQIQWGY,rheumatoid arthritis,0.0,0.0,0
DFJSJLGUIXFDJP,Breast Cancer,-0.6700322375180416,-0.31515535837523057,1
IMOZEMNVLZVGJZ,Patients With Rheumatoid Arthritis,0.0,0.0,0
DSLPMJSGSBLWRE,Endometrial Cancer,0.03280400541279553,-0.009067523385261268,1
XDAOLTSRNUSPPH,Tuberculosis,0.0,0.0,0
UREBDLICKHMUKA,Immune Thrombocytopenic Purpura,0.0,0.0,0
UGJMXCAKCUNAIE,Pain; Breast Cancer; Lung Cancer,-0.5265048635665275,-0.02920954116312796,1
XIESSJVMWNJCGZ,Benign Prostatic Hyperplasia,0.0,0.0,0
KBOPZPXVLCULAV,Diverticulitis,0.0,0.0,0
RJKFOVLPORLFTN,Traumatic Brain Injury,0.0,0.0,0
BPEGJWRSRHCHSN,Liver Cancer,0.0,0.0,0
UCEQXRCJXIVODC,Non-CNS Germ Cell Tumors (Seminomas and Nonseminomas),0.0,0.0,0
BPKAHTKRCLCHEA,Coronary Artery Disease; Chronic Kidney Disease; Hypovitaminosis D; Secondary Hyperparathyroidism,-0.05232930601272791,0.005950368568489975,1
RYMZZMVNJRMUDD,Moderate and Severe COPD,0.0,0.0,0
GYHCTFXIZSNGJT,Hyponatremia; Dilutional Hyponatremia; Inappropriate ADH Syndrome,0.0,0.0,0
ZEUITGRIYCTCEM,Acute Post-operative Pain; Chronic Post Operative Pain; Narcotic Use; Opioid Use; Opioid Addiction,0.0,0.0,0
ZUZXCJZLFRPFBD,Multiple System Atrophy,0.0,0.0,0
SDEAXTCZPQIFQM,Metastatic Breast Cancer,-0.6700322375180416,-0.31515535837523057,1
LSXUTRRVVSPWDZ,Neck Cancer,0.0,0.0,0
XAUDJQYHKZQPEU,refracTory pAncreaTic cancEr,-0.5987606476120164,-0.0030577382069915116,1
OBWASQILIWPZMG,Postprandial Hypoglycemia,0.0,0.0,0
IRSCQMHQWWYFCW,respiratory failure,0.0,0.0,0
ZRUFVDPYHLTYPD,"Angioedema, Hereditary, Types I and II",0.0,0.0,0
VOSAWOSMGPKQEQ,Narcolepsy Type 1 (NT 1),0.0,0.0,0
XVKTYEAUJPZPDZ,Chronic Hepatitis B,0.0,0.0,0
KTYZKXFERQUCPX,"Dermatitis, Atopic",0.0,0.0,0
BSMCAPRUBJMWDF,Gastrointestinal Cancer,0.0,0.0,0
SJVQHLPISAIATJ,Ibrutinib-Resistant Chronic Lymphocytic Leukemia,-0.30676416979093446,-0.10660273206553991,1
XXSMGPRMXLTPCZ,Gastrointestinal Cancer,0.0,0.0,0
KTBSXLIQKWEBRB,"GVHD,Acute",0.0,0.0,0
KISZAGQTIXIVAR,Advanced Breast Cancer,-0.33033499306052333,-0.2774030028172715,1
VOSAWOSMGPKQEQ,Narcolepsy Type 1 (NT1); Narcolepsy Type 2 (NT2),0.0,0.0,0
BKWJAKQVGHWELA,Acute Myeloid Leukemia,-2.591535015470472,-0.00844974109634311,1
CUHVIMMYOGQXCV,Septic Shock; Vasopressor Resistance,0.0,0.0,0
PRMWGUBFXWROHD,Amyotrophic Lateral Sclerosis,0.0,0.0,0
YNBBKDMAVRSYRE,Advanced Solid Tumor; Non-Small Cell Lung Cancer; Colorectal Cancer,-0.8818230702733801,-0.15692145307409,1
WPVFJKSGQUFQAP,Congenital Cytomegalovirus Infection,0.0,0.0,0
WXCXUHSOUPDCQV,Prostate Cancer,-0.2645388102368098,-0.35993598887995626,1
QNZCBYKSOIHPEH,Stroke,0.0,0.0,0
GMPZPHGHNDMRKL,Autism Spectrum Disorder,0.0,0.0,0
ONIQOQHATWINJY,Gland Cancer,0.0,0.0,0
GHBCIXGRCZIPNQ,Painful Diabetic Neuropathy,0.0,0.0,0
SDMBRCRVFFHJKR,Non-Alcoholic Fatty Liver Disease,0.0,0.0,0
VOBHXZCDAVEXEY,Bulimia Nervosa,0.0,0.0,0
JZRWCGZRTZMZEH,Cardiac Arrest,0.0,0.0,0
HJBWBFZLDZWPHF,Prostate Cancer,-0.2645388102368098,-0.35993598887995626,1
JFRWOHRGXFCADF,Endometriosis,-0.02359518561584704,-0.0305848583796672,1
PSBBWFNMHDUTRH,Alzheimer's Disease,0.0,0.0,0
UHDGCWIWMRVCDJ,Acute Myeloid Leukemia,-3.207428950424149,-0.04445061762487468,1
GHBCIXGRCZIPNQ,Post-herpetic Neuralgia,0.0,0.0,0
XXSMGPRMXLTPCZ,Lung Cancer,0.0,0.0,0
WPEWQEMJFLWMLV,Nasopharyngeal Carcinoma,0.0,0.0,0
HGVDHZBSSITLCT,Atrial High Rate Episodes,0.0,0.0,0
AACUJFVOHGRMTR,Alzheimer's Disease,0.0,0.0,0
VZSAMEOETVNDQH,Solid Tumors,0.0,0.0,0
XJGVXQDUIWGIRW,Neuropathic Pain,0.0,0.0,0
YBBLVLTVTVSKRW,Metastatic Breast Cancer,-0.0492118307572316,-0.03621052123357958,1
GXJABQQUPOEUTA,AL Amyloidosis,0.0,0.0,0
IFSDAJWBUCMOAH,Waldenstrom's Macroglobulinemia,0.0,0.0,0
GYQYAJJFPNQOOW,Lung Cancer,-0.14884750535352373,-0.002230616325617635,1
HPJKCIUCZWXJDR,Metastatic Breast Cancer,-0.0492118307572316,-0.03621052123357958,1
BEUQXVWXFDOSAQ,Metastatic Breast Cancer,-0.7229730765846267,-0.21786464877969103,1
ZEUITGRIYCTCEM,Depression,0.0,0.0,0
ZXERDUOLZKYMJM,Alcoholic Hepatitis,0.0,0.0,0
BDXXSFOJPYSYOC,Type 2 Diabetes Mellitus,0.0,0.0,0
BQJCRHHNABKAKU,Cancer,0.0,0.0,0
CDAISMWEOUEBRE,retinopathy of prematurity,0.0,0.0,0
BXNMTOQRYBFHNZ,Cell Carcinoma,0.0,0.0,0
PIQCTGMSNWUMAF,Colorectal and Pancreas Cancer,-0.16186566818299883,0.035560850848411873,1
PHXJVRSECIGDHY,Squamous Cell Lung and Head and Neck Cancer,-0.010067315286271214,0.017513641950758496,1
GXJABQQUPOEUTA,Multiple Myeloma,0.0,1.895267179264142,1
PIQCTGMSNWUMAF,Von Hippel-Lindau Syndrome,0.0,0.0,0
SHGAZHPCJJPHSC,Alzheimer's Disease,0.0,0.0,0
FPOHNWQLNRZRFC,Cell Lymphoma,-0.33682844211403556,-0.2045574504339936,1
MUJMYVFVAWFUJL,"Unspecified Adult Solid Tumor, Protocol Specific",0.0,0.0,0
HFNKQEVNSGCOJV,Adult T-Cell Leukemia,-0.13343888144865607,-0.06496036314497895,1
SDUQYLNIPVEERB,Bladder Cancer,0.0,3.185811563107934,1
ULDXWLCXEDXJGE,Breast Cancer,-0.28023758631263157,-0.19366144120490061,1
WPTTVJLTNAWYAO,Type 2 Diabetes,0.0,0.0,0
ZBNZXTGUTAYRHI,Lung Cancer,-0.10458828262357756,0.00774563261259853,1
XAUDJQYHKZQPEU,Acute Lymphoblastic Leukemia; Precursor B-Cell Lymphoblastic Leukemia; Precursor T-Cell Lymphoblastic Leukemia,-0.5878162354736143,0.007886673931410626,1
WAEXFXRVDQXREF,Acute Lymphoblastic Leukemia; Precursor B-Cell Lymphoblastic Leukemia; Precursor T-Cell Lymphoblastic Leukemia,-1.4231809007573857,-0.20015318367151758,1
VDHAWDNDOKGFTD,"Chronic Kidney Disease; Hyperparathyroidism; Hyperparathyroidism, Secondary; Kidney Disease; Secondary Hyperparathyroidism",-0.00998730478180725,-0.004694737539529072,1
UFNVPOGXISZXJD,Operable HER2 Positive Breast Cancer,-2.2446930475135694,-0.28929779395321265,1
ZQTNQVWKHCQYLQ,Atrial Fibrillation,0.0,0.0,0
AAKJLRGGTJKAMG,Pancreatic Cancer,-0.331731629149892,-0.09440453667199605,1
GOTYRUGSSMKFNF,Chronic Lymphocytic Leukaemia,0.0,0.0,0
HHZIURLSWUIHRB,Pulmonary Arterial Hypertension,0.0,0.0,0
PHWXUGHIIBDVKD,"Hypertension, Pulmonary",0.0,0.0,0
PHWXUGHIIBDVKD,Pulmonary Arterial Hypertension; Pulmonary Hypertension,0.0,0.0,0
LEBVLXFERQHONN,Pain,0.0,0.0,0
LSQZJLSUYDQPKJ,Helicobacter Pylori Infection; Gastritis; Vonoprazan; Adolescents,0.0,0.0,0
