NCT_ID,Drug_Clean,Disease,endpoint_readout,endpoint_organ,drug_organ,endpoint_mech_category,is_on_mech_surrogate,is_surrogate_pass
NCT01479868,ribavirin,hepatitis C virus infection,BIOMARKER,other,infection,ambiguous,0,0
NCT01266902,rilpivirine,HIV-1 infection,SYMPTOM_SCALE,other,infection,ambiguous,0,0
NCT01295372,risperidone,Schizophrenia,BIOMARKER,metabolic,cns,off_mech,0,1
NCT01281813,ritonavir,HIV-1 Infections,CLINICAL_EVENT,other,infection,clinical_off_or_other,0,0
NCT01335698,ritonavir,HIV,ORGAN_FUNCTION,cardiac,infection,off_mech,0,0
NCT01313494,roflumilast,Chronic Obstructive Pulmonary Disease,ORGAN_FUNCTION,respiratory,respiratory,on_mech_surrogate,1,1
NCT01405053,rufinamide,Lennox-Gastaut syndrome,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01285271,sevoflurane,coronary artery bypass,BIOMARKER,respiratory,cns,off_mech,0,0
NCT00994903,simvastatin,Intestinal Neoplasm; Perioperative Care,other,other,cardiac,ambiguous,0,0
NCT01266434,simvastatin,Asthma,ORGAN_FUNCTION,respiratory,cardiac,off_mech,0,0
NCT01334229,sitagliptin,Type 2 Diabetes,other,other,metabolic,ambiguous,0,0
NCT01497366,sofosbuvir,hepatitis C virus infection,other,other,infection,ambiguous,0,0
NCT01462812,sumatriptan,migraine,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01444651,tadalafil,Cardiovascular Disease; Insulin Resistance; Glucose Intolerance; Obesity,BIOMARKER,metabolic,endocrine,off_mech,0,1
NCT01460342,tadalafil,Benign Prostatic Hyperplasia,BIOMARKER,other,endocrine,ambiguous,0,0
NCT02995772,tamoxifen,Breast Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01433107,terbinafine,tinea pedis,SYMPTOM_SCALE,other,derm,ambiguous,0,0
NCT01446042,testosterone,male hypogonadism,BIOMARKER,other,endocrine,ambiguous,0,0
NCT02101359,tetracaine,cataract,other,other,cardiac,ambiguous,0,0
NCT01294462,ticagrelor,Acute Coronary Syndrome; Percutaneous Coronary Intervention,other,other,hematologic,ambiguous,0,0
NCT01360437,ticagrelor,Coronary Artery Disease; Acute Coronary Syndrome,BIOMARKER,hematologic,hematologic,on_mech_surrogate,1,1
NCT01285492,tiotropium,Chronic Obstructive Pulmonary Disease,CLINICAL_EVENT,other,unk,clinical_off_or_other,0,0
NCT01290874,tiotropium,asthma,CLINICAL_EVENT,respiratory,unk,clinical_off_or_other,0,0
NCT01395888,tiotropium,COPD,other,other,unk,ambiguous,0,0
NCT01462929,tiotropium,Chronic Obstructive Pulmonary Disease,ORGAN_FUNCTION,respiratory,unk,off_mech,0,0
NCT01490125,tiotropium,Chronic Obstructive Pulmonary Disease,SYMPTOM_SCALE,other,unk,ambiguous,0,0
NCT01291433,tocopherol acetate,radiation-induced brachial plexopathy,SYMPTOM_SCALE,cns,unk,off_mech,0,0
NCT01556646,tolvaptan,Cirrhosis; Hepatic Encephalopathy; Hyponatremia,other,cns,cardiac,off_mech,0,0
NCT01343277,trabectedin,liposarcoma or leiomyosarcoma,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01379989,trabectedin,Ovarian Cancer,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01519245,tranexamic acid,Coronary Artery Disease,SYMPTOM_SCALE,other,hematologic,ambiguous,0,0
NCT02781597,tranexamic acid,Hemoptysis,SYMPTOM_SCALE,other,hematologic,ambiguous,0,0
NCT01356602,triamcinolone acetonide,gout,SYMPTOM_SCALE,cns,unk,off_mech,0,0
NCT01298323,vandetanib,Locally Advanced or Metastatic Medullary Thyroid Cancer; Medullary Thyroid Cancer,other,other,oncology,ambiguous,0,0
NCT01184664,varenicline,smoking cessation,SYMPTOM_SCALE,other,cns,ambiguous,0,0
NCT01206010,varenicline,smoking cessation,SYMPTOM_SCALE,other,cns,ambiguous,0,0
NCT01307397,vemurafenib,Metastatic Melanoma,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01336608,vilanterol,COPD,CLINICAL_EVENT,respiratory,unk,clinical_off_or_other,0,0
NCT01497522,vildagliptin,Type 2 Diabetes,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01200758,vincristine,Non-Hodgkin's Lymphoma,BIOMARKER,other,oncology,ambiguous,0,0
NCT01355081,vortioxetine,Treatment of Major Depressive Disorder,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01364649,vortioxetine,Treatment of Major Depressive Disorder,SYMPTOM_SCALE,other,cns,ambiguous,0,0
NCT01369576,zopiclone,obstructive sleep apnea,other,other,cns,ambiguous,0,0
NCT01244815,asenapine,Pediatric Bipolar Disorder,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01396291,asenapine,bipolar disorder,CLINICAL_EVENT,other,cns,clinical_off_or_other,0,0
NCT02575729,betamethasone,Carpal Tunnel Syndrome,other,other,derm,ambiguous,0,0
