smiles,inchikey,drug_name,chembl_id,drugbank_id,drug_targets_symbols,drug_targets_ensembl,drug_targets_enst,n_targets,n_ensembl_targets,n_enst_targets
COC(F)(F)C(Cl)Cl,RFKMCNOHBTXSMU-UHFFFAOYSA-N,Methoxyflurane,CHEMBL1341,,GABRG3;GABRA1;GABRA3;GLRB;GABRB3;GABRA4;GABRG2;GABRP;GABRA2;GABRA5;GABRA6;GABRG1;GLRA1;GABRQ;GABRD;GABRB2;GABRE;GABRB1,ENSG00000113327;ENSG00000145888;ENSG00000187730;ENSG00000145863;ENSG00000166206;ENSG00000151834;ENSG00000094755;ENSG00000109738;ENSG00000186297;ENSG00000102287;ENSG00000145864;ENSG00000268089;ENSG00000022355;ENSG00000109158;ENSG00000182256;ENSG00000011677;ENSG00000163285;ENSG00000163288,ENST00000333743;ENST00000451330;ENST00000553440;ENST00000554696;ENST00000554786;ENST00000555083;ENST00000557596;ENST00000615808;ENST00000023897;ENST00000393943;ENST00000428797;ENST00000437025;ENST00000519542;ENST00000519621;ENST00000521339;ENST00000522651;ENST00000634335;ENST00000635096;ENST00000635880;ENST00000635916;ENST00000636340;ENST00000636408;ENST00000636573;ENST00000637044;ENST00000637620;ENST00000637827;ENST00000638112;ENST00000638159;ENST00000958929;ENST00000958930;ENST00000370314;ENST00000417858;ENST00000497894;ENST00000535043;ENST00000862742;ENST00000862743;ENST00000932320;ENST00000299267;ENST00000311550;ENST00000400188;ENST00000541819;ENST00000545868;ENST00000554556;ENST00000554722;ENST00000555094;ENST00000555632;ENST00000556166;ENST00000556636;ENST00000557641;ENST00000557765;ENST00000621499;ENST00000635832;ENST00000635994;ENST00000636466;ENST00000636512;ENST00000636690;ENST00000637226;ENST00000637293;ENST00000637893;ENST00000638099;ENST00000638149;ENST00000264318;ENST00000502874;ENST00000508560;ENST00000509316;ENST00000511523;ENST00000900310;ENST00000356592;ENST00000361925;ENST00000414552;ENST00000522053;ENST00000522990;ENST00000523372;ENST00000638253;ENST00000638552;ENST00000638660;ENST00000638772;ENST00000638782;ENST00000638877;ENST00000639046;ENST00000639111;ENST00000639213;ENST00000639278;ENST00000639384;ENST00000639424;ENST00000639549;ENST00000639554;ENST00000639683;ENST00000639975;ENST00000640500;ENST00000640574;ENST00000640739;ENST00000640757;ENST00000640910;ENST00000640985;ENST00000641017;ENST00000943443;ENST00000943444;ENST00000265294;ENST00000518122;ENST00000518525;ENST00000519137;ENST00000519196;ENST00000519385;ENST00000519598;ENST00000521009;ENST00000521481;ENST00000522868;ENST00000862231;ENST00000356504;ENST00000381620;ENST00000503806;ENST00000506961;ENST00000507069;ENST00000507460;ENST00000509716;ENST00000510233;ENST00000510861;ENST00000513005;ENST00000514090;ENST00000514193;ENST00000514236;ENST00000515082;ENST00000540012;ENST00000630416;ENST00000863563;ENST00000863564;ENST00000863565;ENST00000863566;ENST00000863567;ENST00000863568;ENST00000960092;ENST00000960093;ENST00000960094;ENST00000335625;ENST00000355395;ENST00000400081;ENST00000554038;ENST00000554083;ENST00000554596;ENST00000554599;ENST00000555060;ENST00000555182;ENST00000557449;ENST00000557484;ENST00000879566;ENST00000951856;ENST00000274545;ENST00000517823;ENST00000518888;ENST00000520000;ENST00000521520;ENST00000522269;ENST00000523217;ENST00000523691;ENST00000524220;ENST00000295452;ENST00000964875;ENST00000274576;ENST00000455880;ENST00000462581;ENST00000471351;ENST00000598523;ENST00000378585;ENST00000638411;ENST00000638604;ENST00000638763;ENST00000638771;ENST00000638804;ENST00000639045;ENST00000639070;ENST00000639625;ENST00000639777;ENST00000639935;ENST00000640030;ENST00000640067;ENST00000640317;ENST00000640423;ENST00000640688;ENST00000640892;ENST00000640949;ENST00000640981;ENST00000858706;ENST00000274547;ENST00000353437;ENST00000393959;ENST00000517547;ENST00000517901;ENST00000520240;ENST00000522758;ENST00000523730;ENST00000612710;ENST00000674514;ENST00000674988;ENST00000675081;ENST00000675245;ENST00000675303;ENST00000675381;ENST00000675682;ENST00000675746;ENST00000675773;ENST00000965237;ENST00000370328;ENST00000417300;ENST00000441219;ENST00000462018;ENST00000465405;ENST00000474932;ENST00000476016;ENST00000483564;ENST00000486255;ENST00000489333;ENST00000491339;ENST00000495862;ENST00000295454;ENST00000381582;ENST00000509366;ENST00000510909;ENST00000513567,18,18,219
O=O,MYMOFIZGZYHOMD-UHFFFAOYSA-N,Medical oxygen,CHEMBL1234886,,,,,0,0,0
CCCCOC1NC(=O)NC(=O)C1(F)C(=O)OCC,QYIJQWZDUJULHZ-UHFFFAOYSA-N,Short-term Tac,CHEMBL455234,,,,,0,0,0
O=C([O-])CCCO.[Na+],XYGBKMMCQDZQOZ-UHFFFAOYSA-M,Sodium Oxybate,CHEMBL1200682,,GABBR2;GABBR1,ENSG00000136928;ENSG00000204681,ENST00000259455;ENST00000477471;ENST00000634227;ENST00000634314;ENST00000634354;ENST00000634457;ENST00000634919;ENST00000635462;ENST00000636575;ENST00000637410;ENST00000637717;ENST00000638001;ENST00000931526;ENST00000947376;ENST00000355973;ENST00000377012;ENST00000377016;ENST00000377034;ENST00000462632;ENST00000467259;ENST00000472823;ENST00000473774;ENST00000476670;ENST00000477029;ENST00000478931;ENST00000485508;ENST00000486434;ENST00000488334;ENST00000489385;ENST00000489839;ENST00000491829;ENST00000494634;ENST00000494877;ENST00000706533;ENST00000967932,2,2,35
O=C(O)COc1ccc(/C=C2\SC(=O)NC2=O)cc1,WXMCOLGPDOYHNK-UITAMQMPSA-N,TCS and/or TCI,CHEMBL2425825,,,,,0,0,0
CC(=O)NC(CS)C(=O)O,PWKSKIMOESPYIA-UHFFFAOYSA-N,acetylcysteine,CHEMBL145615,,,,,0,0,0
NC(=O)N[C@@H](CCC(=O)O)C(=O)O,LCQLHJZYVOQKHU-VKHMYHEASA-N,Carglumic Acid,CHEMBL1201780,,CPS1,ENSG00000021826,ENST00000233072;ENST00000430249;ENST00000451903;ENST00000467353;ENST00000470791;ENST00000479988;ENST00000497121;ENST00000497163;ENST00000645825;ENST00000671984;ENST00000673510;ENST00000673630;ENST00000673698;ENST00000673711;ENST00000674074;ENST00000881558;ENST00000881559;ENST00000881560;ENST00000881561;ENST00000881562;ENST00000881563;ENST00000881564;ENST00000921372;ENST00000921373;ENST00000965726,1,1,25
CCCCCCCCCCCCCC(=O)NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H]1CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CN)[C@@H](C)CC)C(C)C)C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc3ccccc3)C(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc3c[nH]cn3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N2)[C@@H](C)O)C(=O)O,UGOZVNFCFYTPAZ-IOXYNQHNSA-N,insulin detemir,CHEMBL2104391,,INSR,ENSG00000171105,ENST00000302850;ENST00000341500;ENST00000593970;ENST00000597211;ENST00000598216;ENST00000600492;ENST00000601099;ENST00000904790;ENST00000904791,1,1,9
NC(=O)C[C@H](N)C(=O)O,DCXYFEDJOCDNAF-REOHCLBHSA-N,L - Asparginase,CHEMBL58832,,,,,0,0,0
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,HKXBNHCUPKIYDM-CGMHZMFXSA-N,Doxercalciferol,CHEMBL1200810,,VDR,ENSG00000111424,ENST00000229022;ENST00000395324;ENST00000546653;ENST00000547065;ENST00000548664;ENST00000549336;ENST00000550314;ENST00000550325;ENST00000891950,1,1,9
