IK14,Disease,topo_upstream,topo_downstream,topo_net,topo_outdeg,kegg_shared,kegg_frac,ot_genetic_association,ot_genetic_literature,ot_somatic_mutation,ot_affected_pathway,ot_animal_model,ot_rna_expression,clingen,in_module,coverage_disease,coverage_drug,direct_target_max,direct_target_mean,direct_target_n_engaged_05,direct_target_n_genes_matched
CMSMOCZEIVJLDB,Multiple Myeloma,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.48253056,0.159768331,0.0,10
CMSMOCZEIVJLDB,"Glomerulonephritis, IGA",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.5986793,0.243008799,1.0,10
CMSMOCZEIVJLDB,severe aplastic anemia,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.42403156,0.18077870122222223,0.0,9
CMSMOCZEIVJLDB,Ovarian Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.71659887,0.29371739939999997,3.0,10
CMSMOCZEIVJLDB,Systemic Sclerosis,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.42557165,0.1170093556,0.0,10
CMSMOCZEIVJLDB,Triple Negative Breast Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.7707682,0.39683462300000005,4.0,10
CMSMOCZEIVJLDB,AL Amyloidosis,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.4412415,0.20540609999999998,0.0,10
CMSMOCZEIVJLDB,Vasculitis,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.6906323,0.28666145499999995,1.0,10
FDKXTQMXEQVLRF,Hodgkin Lymphoma,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.5112098,0.3209793127,1.0,10
JVHXJTBJCFBINQ,"Polycystic Kidney, Autosomal Dominant",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.52150124,0.202995608,1.0,5
JVHXJTBJCFBINQ,"Renal Insufficiency, Chronic",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.52150124,0.17630525930000002,1.0,10
JVHXJTBJCFBINQ,Septic Shock,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.10544374,0.044917418599999995,0.0,10
JVHXJTBJCFBINQ,Nephrotic Syndrome,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.6262526,0.19653080630000003,1.0,10
JVHXJTBJCFBINQ,"Diabetes Mellitus, Type 1",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.44681393797460117,0.0,0,1,1,1,0.6690065,0.2592409366,2.0,10
JVHXJTBJCFBINQ,diabetic nephropathy,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,,,,0
JVHXJTBJCFBINQ,inflammatory bowel disease,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,,,,0
JVHXJTBJCFBINQ,Type 1 Diabetes Mellitus,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.44681393797460117,0.0,0,1,1,1,0.6690065,0.2592409366,2.0,10
JVHXJTBJCFBINQ,Breast Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.5908505,0.14975497761999998,1.0,10
JAUOIFJMECXRGI,Chronic Idiopathic Urticaria,0.1,0.23333333333333334,-0.13333333333333333,8.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.7666764,0.13767789460000002,1.0,10
UREBDLICKHMUKA,acute respiratory distress syndrome,0.20689655172413793,0.034482758620689655,0.1724137931034483,16.0,1,1.0,0.0,0.0,0.0,0.0,0.3457606411416095,0.0,0,1,1,1,0.8651454,0.3503343217,3.0,10
UREBDLICKHMUKA,Breast Cancer,0.7333333333333333,0.7,0.03333333333333333,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.55734026,0.11866928620000002,1.0,10
UREBDLICKHMUKA,Thrombocytopenia,0.4,0.3,0.1,16.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.2992093,0.1382199724,0.0,10
UREBDLICKHMUKA,Renal Colic,0.23333333333333334,0.3,-0.06666666666666667,16.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.56115645,0.24378347860000002,1.0,10
UREBDLICKHMUKA,Prostate Cancer Metastatic,0.5666666666666667,0.36666666666666664,0.2,16.0,1,1.0,0.0,0.0,0.2279740491043579,0.0,0.0,0.0,0,0,1,1,0.83139646,0.174651492,2.0,10
UREBDLICKHMUKA,pneumonia,0.23333333333333334,0.26666666666666666,-0.03333333333333333,16.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.8651454,0.1932946735,1.0,10
UREBDLICKHMUKA,AL Amyloidosis,0.3,0.2,0.1,16.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.34317896,0.1506406163,0.0,10
UREBDLICKHMUKA,Influenza,0.3,0.16666666666666666,0.13333333333333333,16.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.30261928,0.1942030269,0.0,10
GZSOSUNBTXMUFQ,Breast Cancer,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.61597264,0.13115334029,1.0,10
GZSOSUNBTXMUFQ,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.6974518,0.1525085238,1.0,10
ZZVUWRFHKOJYTH,Systemic Lupus Erythematosus,0.2,0.16666666666666666,0.03333333333333333,8.0,1,0.25,0.3085746992510923,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.2657383,0.1424065755,0.0,10
ZZVUWRFHKOJYTH,Multiple Sclerosis,0.16666666666666666,0.06666666666666667,0.1,8.0,1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.26327106,0.14185720200000002,0.0,10
ZZVUWRFHKOJYTH,Lupus Nephritis,0.16666666666666666,0.13333333333333333,0.03333333333333333,8.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.67855954,0.1720552736,1.0,10
JWJOTENAMICLJG,androgenetic alopecia,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1,,,,0
JGMOKGBVKVMRFX,Subfertility,0.1,0.26666666666666666,-0.16666666666666666,2.0,4,0.8,0.5256683512342566,0.0,0.0,0.0,0.8679214751404737,0.0,0,0,1,1,0.21948877,0.10112570406999999,0.0,10
SIFNOOUKXBRGGB,Breast Cancer,0.6333333333333333,0.6666666666666666,-0.03333333333333333,40.0,10,1.0,0.7362363711407216,0.0,0.8496114818642673,0.8492097570461924,0.2784930983858836,0.0,0,1,1,1,0.8093833,0.17233447219999998,2.0,10
OBWASQILIWPZMG,Metabolic Syndrome,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.3813684,0.13799685369999998,0.0,10
OBWASQILIWPZMG,Nephrotic Syndrome,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.29101047,0.1121121992,0.0,10
OBWASQILIWPZMG,pneumonia,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.2467218,0.0994884578,0.0,10
OBWASQILIWPZMG,congenital heart disease,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.19321679,0.09361735360000001,0.0,10
WXCXUHSOUPDCQV,Cancer,0.8666666666666667,0.8,0.06666666666666667,43.0,4,0.8,0.8748180531333265,0.0,0.9554137826803797,0.9513974960387728,0.5588902674845435,0.0,5,0,1,1,0.008455368,0.0008455368,0.0,10
WXCXUHSOUPDCQV,Prostate Cancer Metastatic,0.6666666666666666,0.4,0.26666666666666666,43.0,5,1.0,0.8728762805808241,0.0,0.8304717518195258,0.9285669064556789,0.0,0.0,5,1,1,1,0.9812304,0.10055049969999999,1.0,10
WXCXUHSOUPDCQV,Neoplasms,0.0,0.0,0.0,43.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,1,0.0017345228,0.0017345228,0.0,1
UFNVPOGXISZXJD,Advanced Breast Cancer,0.23333333333333334,0.6666666666666666,-0.43333333333333335,2.0,10,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0.0,10
UFNVPOGXISZXJD,Metastatic Breast Cancer,0.23333333333333334,0.6666666666666666,-0.43333333333333335,2.0,10,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0.0,10
UFNVPOGXISZXJD,Triple Negative Breast Cancer,0.1,0.1,0.0,2.0,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.03938704,0.005953380699999999,0.0,10
YQEZLKZALYSWHR,depressive disorder,0.0,0.0,0.0,0.42857142857142855,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1,,,,0
YQEZLKZALYSWHR,"Depressive Disorder, Major",0.23333333333333334,0.3,-0.06666666666666667,0.42857142857142855,20,0.9523809523809523,0.4867374381481546,0.0,0.0,0.0,0.0,0.0,5,1,1,1,0.29154408,0.21905972099999999,0.0,10
VJJPUSNTGOMMGY,Acute Myeloid Leukemia,0.0,0.3,-0.3,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,0.54497486,0.1808452528,1.0,10
VJJPUSNTGOMMGY,Ovarian Cancer,0.0,0.6333333333333333,-0.6333333333333333,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,0.88317597,0.3572466746,5.0,10
VJJPUSNTGOMMGY,"Carcinoma, Non-Small-Cell Lung",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,,,,0
VJJPUSNTGOMMGY,Multiple Myeloma,0.0,0.26666666666666666,-0.26666666666666666,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,1,0.5946973,0.19274799699999998,1.0,10
VJJPUSNTGOMMGY,hemophagocytic lymphohistiocytosis,0.0,0.13333333333333333,-0.13333333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,0.906061,0.2949681896,3.0,10
VJJPUSNTGOMMGY,Non-Small Cell Lung Cancer,0.0,0.6333333333333333,-0.6333333333333333,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,0.7535266,0.21314658260000002,2.0,10
YMTINGFKWWXKFG,Diabetic Retinopathy,0.13333333333333333,0.2,-0.06666666666666667,14.0,6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.63268065,0.341091306,3.0,10
PJMPHNIQZUBGLI,opioid use disorder,0.1,0.26666666666666666,-0.16666666666666666,9.0,5,1.0,0.8551488348715596,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.7985019,0.30953468289999997,3.0,10
PJMPHNIQZUBGLI,Acute Traumatic Pain,0.03333333333333333,0.1,-0.06666666666666667,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.20577715,0.07503638660000002,0.0,10
RWTNPBWLLIMQHL,Parkinson Disease,0.23333333333333334,0.23333333333333334,0.0,8.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.18360592,0.08577730773,0.0,10
GHASVSINZRGABV,Breast Cancer,0.0,0.16666666666666666,-0.16666666666666666,0.0,1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.69306856,0.34287584039999996,2.0,10
GHASVSINZRGABV,Gastric Cancer,0.0,0.06666666666666667,-0.06666666666666667,0.0,1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.57941735,0.29236288740000005,2.0,10
GHASVSINZRGABV,Colorectal Cancer,0.0,0.16666666666666666,-0.16666666666666666,0.0,1,0.16666666666666666,0.0,0.0,0.0,0.25229128100882275,0.0,0.0,0,0,1,1,0.6814991,0.45154274600000005,6.0,10
