row_idx,NCT_ID,Drug,SMILES,tdc_dili,tdc_ames,tdc_carcinogen,tdc_skin_reaction
2077,NCT02242942,Venetoclax,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.774276517130451,0.6279533033626841,0.3300739019985631,0.3668022639677036
2078,NCT02105974,Vilanterol,OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,0.2876012685328776,0.30708174601603255,0.4184458183673591,0.49216278274320957
2079,NCT02347332,Vinflunine,CC[C@]12C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7C[C@@H](C(C)(F)F)CN(Cc8c6[nH]c6ccccc86)C7)c(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1OC(C)=O)[C@@H]32,0.3620757919018166,0.45369735893202756,0.15042136752240176,0.30443309444208805
2080,NCT02282709,asunaprevir,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,0.6282989177145839,0.3250045990733025,0.2009486033224788,0.302754774506874
2081,NCT02079727,celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.8899352048046132,0.39857400265355475,0.5303963718155811,0.3518977697921223
2082,NCT02197416,dabigatran etexilate,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,0.5929535650102202,0.4049240430313175,0.403281943278051,0.4903080240409139
2083,NCT02239120,dabigatran etexilate,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,0.5929535650102202,0.4049240430313175,0.403281943278051,0.4903080240409139
2084,NCT02207088,dasabuvir,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,0.728996284868667,0.4080939156788872,0.32383903293373384,0.4114611236207624
2085,NCT02219477,dasabuvir,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,0.728996284868667,0.4080939156788872,0.32383903293373384,0.4114611236207624
2086,NCT01984684,delafloxacin,Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F,0.8340108861946944,0.3697228425151869,0.2122729760318804,0.44932955194114604
