aact_name,pref_name,ik14,standard_inchi_key
800 mg ibuprofen,IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
Methylphenidate Extended Release Capsules,METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
Formoterol Fumarate 10 mcg,ARFORMOTEROL,BPZSYCZIITTYBL,BPZSYCZIITTYBL-YJYMSZOUSA-N
formoterol fumarate 10 mcg,ARFORMOTEROL,BPZSYCZIITTYBL,BPZSYCZIITTYBL-YJYMSZOUSA-N
Salbutamol 100 mcg,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Provigil (Modafinil),MODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-UHFFFAOYSA-N
Omeprazole IV,OMEPRAZOLE,SUBDBMMJDZJVOS,SUBDBMMJDZJVOS-UHFFFAOYSA-N
Leucovorin (in FOLFOX),LEUCOVORIN,VVIAGPKUTFNRDU,VVIAGPKUTFNRDU-ABLWVSNPSA-N
Calcium folinate (LV),LEUCOVORIN CALCIUM,KVUAALJSMIVURS,KVUAALJSMIVURS-ZEDZUCNESA-L
Ofloxacin 400mg,OFLOXACIN,GSDSWSVVBLHKDQ,GSDSWSVVBLHKDQ-UHFFFAOYSA-N
Lanzoprazole,LANSOPRAZOLE,MJIHNNLFOKEZEW,MJIHNNLFOKEZEW-UHFFFAOYSA-N
Pramipexole 0.5 mg tablet,PRAMIPEXOLE,FASDKYOPVNHBLU,FASDKYOPVNHBLU-ZETCQYMHSA-N
Pramipexole 0.125 mg tablet,PRAMIPEXOLE,FASDKYOPVNHBLU,FASDKYOPVNHBLU-ZETCQYMHSA-N
formoterol (TURBOHALER),ARFORMOTEROL,BPZSYCZIITTYBL,BPZSYCZIITTYBL-YJYMSZOUSA-N
Extended Release Methylphenidate (OROS-Methylphenidate),METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
Milnacipran 100mg,"1R,2S-MILNACIPRAN",GJJFMKBJSRMPLA,GJJFMKBJSRMPLA-HIFRSBDPSA-N
betaine,BETAINE,KWIUHFFTVRNATP,KWIUHFFTVRNATP-UHFFFAOYSA-O
