molregno,gene
1121865,TUBA1A
1121865,TUBB4A
1121865,TUBB8
1121865,TUBB
1121865,TUBA1B
1121865,TUBA1C
1121865,TUBA3E
1121865,TUBB2A
1121865,TUBB2B
1121865,TUBB6
8062,TUBB4B
8062,TUBB1
8062,TUBA3C
8062,TUBA4A
8062,TUBB3
8062,TUBA1A
8062,TUBB4A
8062,TUBB8
8062,TUBB
8062,TUBA1B
8062,TUBA1C
8062,TUBA3E
8062,TUBB2A
8062,TUBB2B
8062,TUBB6
1927101,TUBB4B
1927101,TUBB1
1927101,TUBA3C
1927101,TUBA4A
1927101,TUBB3
1927101,TUBA1A
1927101,TUBB4A
1927101,TUBB8
1927101,TUBB
1927101,TUBA1B
1927101,TUBA1C
1927101,TUBA3E
1927101,TUBB2A
1927101,TUBB2B
1927101,TUBB6
1073669,TUBB4B
1073669,TUBB1
1073669,TUBA3C
1073669,TUBA4A
1073669,TUBB3
1073669,TUBA1A
1073669,TUBB4A
1073669,TUBB8
1073669,TUBB
1073669,TUBA1B
1073669,TUBA1C
1073669,TUBA3E
1073669,TUBB2A
1073669,TUBB2B
1073669,TUBB6
675699,TUBB4B
675699,TUBB1
675699,TUBA3C
675699,TUBA4A
675699,TUBB3
675699,TUBA1A
675699,TUBB4A
675699,TUBB8
675699,TUBB
675699,TUBA1B
675699,TUBA1C
675699,TUBA3E
675699,TUBB2A
675699,TUBB2B
675699,TUBB6
14440,TUBB4B
14440,TUBB1
14440,TUBA3C
14440,TUBA4A
14440,TUBB3
14440,TUBA1A
14440,TUBB4A
14440,TUBB8
14440,TUBB
14440,TUBA1B
14440,TUBA1C
14440,TUBA3E
14440,TUBB2A
14440,TUBB2B
14440,TUBB6
675703,TUBB4B
675703,TUBB1
675703,TUBA3C
675703,TUBA4A
675703,TUBB3
675703,TUBA1A
675703,TUBB4A
675703,TUBB8
675703,TUBB
675703,TUBA1B
675703,TUBA1C
675703,TUBA3E
675703,TUBB2A
675703,TUBB2B
675703,TUBB6
490427,TUBB4B
490427,TUBB1
490427,TUBA3C
490427,TUBA4A
490427,TUBB3
490427,TUBA1A
490427,TUBB4A
490427,TUBB8
490427,TUBB
490427,TUBA1B
490427,TUBA1C
490427,TUBA3E
490427,TUBB2A
490427,TUBB2B
490427,TUBB6
564219,TUBB4B
564219,TUBB1
564219,TUBA3C
564219,TUBA4A
564219,TUBB3
564219,TUBA1A
564219,TUBB4A
564219,TUBB8
564219,TUBB
564219,TUBA1B
564219,TUBA1C
564219,TUBA3E
564219,TUBB2A
564219,TUBB2B
564219,TUBB6
355917,TUBB4B
355917,TUBB1
355917,TUBA3C
355917,TUBA4A
355917,TUBB3
355917,TUBA1A
355917,TUBB4A
355917,TUBB8
355917,TUBB
355917,TUBA1B
355917,TUBA1C
355917,TUBA3E
355917,TUBB2A
355917,TUBB2B
355917,TUBB6
675488,ITGA4
675488,ITGB7
674777,GSK3A
674777,GSK3B
1376008,GSK3A
1376008,GSK3B
675377,PDGFRB
675377,PDGFRA
675684,PDGFRB
675684,PDGFRA
1277553,PDGFRB
1277553,PDGFRA
450864,PDGFRB
450864,PDGFRA
1377978,ABL1
1377978,BCR
36662,ADRB1
36662,ADRB2
36662,ADRB3
675118,ADRB1
675118,ADRB2
675118,ADRB3
2197392,ADRB1
2197392,ADRB2
2197392,ADRB3
674953,ADRB1
674953,ADRB2
674953,ADRB3
550053,ADRB1
550053,ADRB2
550053,ADRB3
674346,GRIN1
674346,GRIN2A
674346,GRIN2B
674346,GRIN2D
674346,GRIN3B
674346,GRIN2C
674346,GRIN3A
1359038,GRIN1
1359038,GRIN2A
1359038,GRIN2B
1359038,GRIN2D
1359038,GRIN3B
1359038,GRIN2C
1359038,GRIN3A
452635,GRIN1
452635,GRIN2A
452635,GRIN2B
452635,GRIN2D
452635,GRIN3B
452635,GRIN2C
452635,GRIN3A
545974,GRIN1
545974,GRIN2A
545974,GRIN2B
545974,GRIN2D
545974,GRIN3B
545974,GRIN2C
545974,GRIN3A
674974,GRIN1
674974,GRIN2A
674974,GRIN2B
674974,GRIN2D
674974,GRIN3B
674974,GRIN2C
674974,GRIN3A
150451,GRIN1
150451,GRIN2A
150451,GRIN2B
150451,GRIN2D
150451,GRIN3B
150451,GRIN2C
150451,GRIN3A
550657,GRIN1
550657,GRIN2A
550657,GRIN2B
550657,GRIN2D
550657,GRIN3B
550657,GRIN2C
550657,GRIN3A
674529,PDE3A
674529,PDE3B
674710,PDE3A
674710,PDE3B
794445,PDE3A
794445,PDE3B
779620,PDE3A
779620,PDE3B
221962,MTNR1A
221962,MTNR1B
674340,ADRA2A
674340,ADRA2C
674340,ADRA2B
1378465,ADRA2A
1378465,ADRA2C
1378465,ADRA2B
674280,ADRA2A
674280,ADRA2C
674280,ADRA2B
27610,ADRA2A
27610,ADRA2C
27610,ADRA2B
548124,ADRA2A
548124,ADRA2C
548124,ADRA2B
674383,ADRA2A
674383,ADRA2C
674383,ADRA2B
674445,ADRA2A
674445,ADRA2C
674445,ADRA2B
27609,ADRA2A
27609,ADRA2C
27609,ADRA2B
674330,ADRA2A
674330,ADRA2C
674330,ADRA2B
3730,ADRA2A
3730,ADRA2C
3730,ADRA2B
674511,ADRA2A
674511,ADRA2C
674511,ADRA2B
28939,ADRA2A
28939,ADRA2C
28939,ADRA2B
1510461,DRD2
1510461,DRD3
1510461,DRD5
1510461,DRD4
1510461,DRD1
249814,DRD2
249814,DRD3
249814,DRD5
249814,DRD4
249814,DRD1
155045,DRD2
155045,DRD3
155045,DRD5
155045,DRD4
155045,DRD1
364141,DRD2
364141,DRD3
364141,DRD5
364141,DRD4
364141,DRD1
366279,GRIK1
366279,GRIK5
366279,GRIK4
366279,GRIK2
366279,GRIK3
2096404,CALCR
2096404,RAMP1
2096404,RAMP3
674899,ADRA1A
674899,ADRA1D
674899,ADRA1B
1355855,ADRA1A
1355855,ADRA1D
1355855,ADRA1B
36662,ADRA1A
36662,ADRA1D
36662,ADRA1B
553490,ADRA1A
553490,ADRA1D
553490,ADRA1B
674512,ADRA1A
674512,ADRA1D
674512,ADRA1B
675054,ADRA1A
675054,ADRA1D
675054,ADRA1B
1355853,ADRA1A
1355853,ADRA1D
1355853,ADRA1B
675118,ADRA1A
675118,ADRA1D
675118,ADRA1B
674412,ADRA1A
674412,ADRA1D
674412,ADRA1B
674290,ADRA1A
674290,ADRA1D
674290,ADRA1B
444191,ADRA1A
444191,ADRA1D
444191,ADRA1B
674865,ADRA1A
674865,ADRA1D
674865,ADRA1B
2197433,ADRA1A
2197433,ADRA1D
2197433,ADRA1B
2197279,PTGS2
2197279,PTGS1
16450,PTGS2
