IK14,Disease,mendel_clinvar,mendel_ot_causal,mendel_max,depmap_dep_lin,depmap_selectivity,mi_raw,mi_within_disease_pct,mi_genetics,_depmap_has,_mi_route
YAYRGNWWLMLWJE,Breast Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0,genetics
YAYRGNWWLMLWJE,Endometrial Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,genetics
YAYRGNWWLMLWJE,Triple Negative Breast Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
YAYRGNWWLMLWJE,Urothelial Carcinoma,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,genetics
YAYRGNWWLMLWJE,"Carcinoma, Non-Small-Cell Lung",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
YAYRGNWWLMLWJE,Esophageal Cancer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
YAYRGNWWLMLWJE,Ovarian Cancer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
YAYRGNWWLMLWJE,Advanced Cervical Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
YAYRGNWWLMLWJE,Neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
RZEKVGVHFLEQIL,Familial adenomatous polyposis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
RZEKVGVHFLEQIL,Prostate Cancer,0.0,0.0,0.0,0.10714156063006719,0.026600052920597042,-0.10714156063006719,0.0,0.0,1,depmap
ZKLPARSLTMPFCP,Multiple Sclerosis,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0,genetics
ZKLPARSLTMPFCP,Acute Urticaria,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
RRGUKTPIGVIEKM,Ischemic Stroke,0.0,0.0,0.0,0.0,0.0,0.6546673717075597,1.0,0.6546673717075597,0,genetics
RRGUKTPIGVIEKM,Stroke,0.0,0.0,0.0,0.0,0.0,0.7480804713863115,1.0,0.7480804713863115,0,genetics
WSEQXVZVJXJVFP,Dementia,0.0,0.0,0.0,0.0,0.0,0.3762483706418323,1.0,0.3762483706418323,0,genetics
GKTWGGQPFAXNFI,Myocardial Infarction,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
IAKHMKGGTNLKSZ,Heart Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0,genetics
IAKHMKGGTNLKSZ,venous thromboembolism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
IAKHMKGGTNLKSZ,pneumonia,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0,genetics
