NCT_ID,Disease,y,p,p_adj,is_offmech
NCT01097707,Benign Prostatic Hyperplasia,1,0.12142576711224244,0.12142576711224244,0
NCT01038739,Diverticulitis,1,0.5698538607692205,0.5698538607692205,0
NCT00822900,Traumatic Brain Injury,1,0.9981676262827237,0.9981676262827237,0
NCT01205828,Liver Cancer,1,0.9685401382772308,0.9685401382772308,0
NCT01055067,Non-CNS Germ Cell Tumors (Seminomas and Nonseminomas),1,0.5650799871001221,0.5650799871001221,0
NCT01061671,Moderate and Severe COPD,1,0.501741741937306,0.501741741937306,1
NCT01227512,Hyponatremia; Dilutional Hyponatremia; Inappropriate ADH Syndrome,1,0.4536536198672043,0.4536536198672043,0
NCT05036317,Postprandial Hypoglycemia,1,0.4200256407063582,0.4200256407063582,0
NCT04478266,Advanced Breast Cancer,1,0.3982771348471347,0.3982771348471347,0
NCT03192215,Stroke,1,0.9783902995042727,0.9783902995042727,0
NCT03504917,Autism Spectrum Disorder,1,0.5325640119691798,0.5325640119691798,0
NCT03436420,Non-Alcoholic Fatty Liver Disease,1,0.39649924921643953,0.39649924921643953,0
NCT02722369,Lung Cancer,1,0.402432747828103,0.402432747828103,0
NCT02618577,Atrial High Rate Episodes,1,0.4376457359370237,0.4376457359370237,0
NCT02956486,Alzheimer's Disease,1,0.9798986215802842,0.9798986215802842,0
NCT07194694,Pain,0,0.04613036826286323,0.04613036826286323,0
NCT06318481,"Stent Thrombosis; Myocardial Infarction, Acute",0,0.5017093275824263,0.5017093275824263,0
NCT06192108,Type 2 Diabetes,0,0.007687444448350364,0.007687444448350364,0
NCT06415773,Type 2 Diabetes,0,0.052789765126806554,0.052789765126806554,0
NCT07028697,insomnia,0,0.012515128173527979,0.012515128173527979,0
NCT05214911,allergic rhinitis,0,0.004431358244952806,0.004431358244952806,0
NCT07326904,Gastro Oesophageal Reflux Disease,0,0.5100620252522796,0.5100620252522796,0
NCT06590870,Procedural Pain,0,0.429782609732146,0.429782609732146,0
NCT06206408,hot flashes,0,0.3609675291687314,0.3609675291687314,0
NCT06685679,"Neonatal Diseases and Abnormalities; Neonatal Mortality; Pulmonary Arterial Hypertension; Pulmonary Arterial Hypertension, Children",0,0.4619808045656285,0.4619808045656285,0
NCT06714669,intraoperative hypotension,0,0.2415883231024003,0.2415883231024003,0
NCT06466369,BPH With Other Lower Urinary Tract Symptoms,0,0.5374595254293066,0.5374595254293066,0
NCT06258785,postoperative urinary retention,0,0.29326882753196143,0.29326882753196143,0
NCT05761574,Pain,0,0.1253902584753724,0.1253902584753724,0
NCT05586971,gout,0,0.01289098043164182,0.01289098043164182,0
NCT06088043,plaque psoriasis,0,0.038280073099717524,0.038280073099717524,0
NCT06108544,plaque psoriasis,0,0.038280073099717524,0.038280073099717524,0
NCT05861427,migraine,0,0.009097704398599192,0.009097704398599192,0
NCT05878093,Chronic Rhinosinusitis With Nasal Polyps,0,0.6443657681991988,0.6443657681991988,0
NCT06165679,hemodynamic instability,0,0.13709853178018333,0.13709853178018333,0
NCT06616441,postoperative pain,0,0.00765663079138835,0.00765663079138835,0
NCT05682326,anemia,0,0.002608383318673673,0.002608383318673673,0
